OBJECTID,Resolution,GNIS_ID,GNIS_Name,Enabled,Shape_Length,US_Gauge,DS_Gauge
3,2,00591690,Susquehanna River,1,85515.181895744404756,01554000,01570500
13,2,00591690,Susquehanna River,1,15883.059023184028774,01578310,1
17,2,00591690,Susquehanna River,1,58285.801779343710223,01576000,01578310
20,2,00591690,Susquehanna River,1,16102.814310939967982,01553500,01553990
21,2,00591690,Susquehanna River,1,43932.205519630355411,01570500,01576000
113,2,00591690,Susquehanna River,1,2227.030054389843826,01553990,01554000
650,2,01190936,West Branch Susquehanna River,1,12150.742787317929469,01553025,01553240
651,2,01190936,West Branch Susquehanna River,1,28555.588694490146736,01541000,01541180
652,2,01190936,West Branch Susquehanna River,1,55524.227432584462804,01542500,01545500
653,2,01190936,West Branch Susquehanna River,1,34211.007079864713887,01551500,01553025
654,2,01190936,West Branch Susquehanna River,1,64142.601929100397683,0,01541000
655,2,01190936,West Branch Susquehanna River,1,13033.450743861001683,01541200,01541303
656,2,01190936,West Branch Susquehanna River,1,71699.819663903166656,01541303,01542500
657,2,01190936,West Branch Susquehanna River,1,45172.204994536012236,01545500,01545800
658,2,01190936,West Branch Susquehanna River,1,26086.792645888006518,01549760,01551500
659,2,01190936,West Branch Susquehanna River,1,22513.336268241706421,01545800,01549760
661,2,01190936,West Branch Susquehanna River,1,1137.404085075778994,01541180,01541200
662,2,01190936,West Branch Susquehanna River,1,4984.378894964915162,01553240,01553500
